name,satnum,intl_des,epoch_utc,incl_deg,raan_deg,ecc,argp_deg,mean_anom_deg,mean_motion_rev_per_day,period_min,sma_km,perigee_km,apogee_km,bstar,source_file,tle_line1,tle_line2
HULIANWANG DIGUI-55,65112,25168G,2025-09-24T09:20:59.135712Z,49.9995,212.6352,0.0008642,29.6432,330.4957,13.95842748,103.16348328372015,7286.3636936994735,901.9298181953791,914.5235692035694,0.00018086,tles/gw.txt,1 65112U 25168G   25267.38957333  .00000100  00000+0  18086-3 0  9996,2 65112  49.9995 212.6352 0008642  29.6432 330.4957 13.95842748  7121
HULIANWANG DIGUI-56,65113,25168H,2025-09-24T09:14:59.890564Z,49.9989,212.609,0.0007515,32.4398,327.6964,13.95811016,103.16582857517726,7286.4741241297825,902.8613388254989,913.8129094340666,0.00018997,tles/gw.txt,1 65113U 25168H   25267.38541540  .00000112  00000+0  18997-3 0  9990,2 65113  49.9989 212.6090 0007515  32.4398 327.6964 13.95811016  7125
HULIANWANG DIGUI-57,65114,25168J,2025-09-24T09:08:32.258698Z,50.0014,212.6014,0.0007788,34.6411,325.4997,13.95864345,103.16188712449704,7286.288536442705,902.4769749305233,913.8260979548868,0.000189,tles/gw.txt,1 65114U 25168J   25267.38092892  .00000111  00000+0  18900-3 0  9995,2 65114  50.0014 212.6014 0007788  34.6411 325.4997 13.95864345  7132
CZ-12 R/B,65115,25168K,2025-09-25T06:14:22.278046Z,49.9827,202.4293,0.007649,294.3986,64.8955,14.16461712,101.66176662599405,7215.480901677855,782.1526882609214,892.53511509479,4.3044e-05,tles/gw.txt,1 65115U 25168K   25268.25998007 -.00000067  00000+0  43044-4 0  9995,2 65115  49.9827 202.4293 0076490 294.3986  64.8955 14.16461712  7353
HULIANWANG DIGUI 8A,65164,25174A,2025-09-25T07:40:07.633911Z,86.503,341.4622,0.0001485,91.3567,268.7737000000001,13.24417433,108.72704965368725,7546.030951874567,1166.7733662782139,1169.0145374709218,-0.00030692,tles/gw.txt,1 65164U 25174A   25268.31953280 -.00000117  00000+0 -30692-3 0  9998,2 65164  86.5030 341.4622 0001485  91.3567 268.7737 13.24417433  5734
HULIANWANG DIGUI 8B,65165,25174B,2025-09-25T07:51:01.334564Z,86.4991,341.45,0.0001529,90.8997,269.2313,13.24416218,108.72714939828681,7546.035566952557,1166.74477811437,1169.0523557907445,-0.00014403,tles/gw.txt,1 65165U 25174B   25268.32709878 -.00000047  00000+0 -14403-3 0  9996,2 65165  86.4991 341.4500 0001529  90.8997 269.2313 13.24416218  5731
HULIANWANG DIGUI 8C,65166,25174C,2025-09-25T08:01:53.828247Z,86.5028,341.4672,0.000148,90.7644,269.366,13.24417185,108.7270700130639,7546.031893881683,1166.7780811613884,1169.0117066019775,-0.00035845,tles/gw.txt,1 65166U 25174C   25268.33465079 -.00000139  00000+0 -35845-3 0  9995,2 65166  86.5028 341.4672 0001480  90.7644 269.3660 13.24417185  5738
HULIANWANG DIGUI 8D,65167,25174D,2025-09-25T06:23:59.050720Z,86.5037,341.4996,0.0001536,91.0828,269.0482,13.24417053,108.72708084950942,7546.032395272687,1166.7363246967734,1169.0544658486006,-0.0001855,tles/gw.txt,1 65167U 25174D   25268.26665568 -.00000065  00000+0 -18550-3 0  9995,2 65167  86.5037 341.4996 0001536  91.0828 269.0482 13.24417053  5720
HULIANWANG DIGUI 8E,65168,25174E,2025-09-25T06:34:50.505005Z,86.4978,341.4777,0.0001564,92.1128,268.0186,13.244193650000001,108.72689104783663,7546.023613345332,1166.7064152522053,1169.0668114384598,0.0001296,tles/gw.txt,1 65168U 25174E   25268.27419566  .00000070  00000+0  12960-3 0  9995,2 65168  86.4978 341.4777 0001564  92.1128 268.0186 13.24419365  5725
HULIANWANG DIGUI 8F,65169,25174F,2025-09-25T06:45:44.451050Z,86.5031,341.5026,0.000154,91.6631,268.468,13.24418207,108.72698611277849,7546.028011902638,1166.7289235888056,1169.0531002164716,0.00015134,tles/gw.txt,1 65169U 25174F   25268.28176448  .00000080  00000+0  15134-3 0  9993,2 65169  86.5031 341.5026 0001540  91.6631 268.4680 13.24418207  5729
HULIANWANG DIGUI 8G,65170,25174G,2025-09-25T06:56:36.775391Z,86.4983,341.4893,0.0001502,90.2465,269.8841,13.244174899999999,108.72704497431548,7546.03073536491,1166.7603215484578,1169.027149181362,-0.00034653,tles/gw.txt,1 65170U 25174G   25268.28931453 -.00000134  00000+0 -34653-3 0  9999,2 65170  86.4983 341.4893 0001502  90.2465 269.8841 13.24417490  5722
HULIANWANG DIGUI 8H,65171,25174H,2025-09-25T07:18:22.775330Z,86.4947,341.4801,0.0001475,90.3149,269.81540000000007,13.244162720000002,108.7271449651896,7546.0353618378285,1166.7853216219582,1169.0114020536994,-0.00033043,tles/gw.txt,1 65171U 25174H   25268.30443027 -.00000127  00000+0 -33043-3 0  9992,2 65171  86.4947 341.4801 0001475  90.3149 269.8154 13.24416272  5725
HULIANWANG DIGUI 8J,65172,25174J,2025-09-25T07:07:29.274231Z,86.4982,341.4942,0.0001492,92.679,267.4514,13.244175559999999,108.72703955609602,7546.030484669534,1166.7676169212227,1169.0193524178476,-6.9899e-05,tles/gw.txt,1 65172U 25174J   25268.29686660 -.00000015  00000+0 -69899-4 0  9998,2 65172  86.4982 341.4942 0001492  92.6790 267.4514 13.24417556  5727
HULIANWANG DIGUI 8K,65173,25174K,2025-09-25T07:29:15.619781Z,86.5,341.5045,0.0001501,91.8454,268.2852,13.24416517,108.72712485206796,7546.034431224891,1166.7647714567638,1169.0300909930174,-0.00010202,tles/gw.txt,1 65173U 25174K   25268.31198634 -.00000029  00000+0 -10202-3 0  9999,2 65173  86.5000 341.5045 0001501  91.8454 268.2852 13.24416517  5690
HULIANWANG DIGUI 9A,65228,25178A,2025-09-18T08:30:08.898621Z,86.493,105.4284,0.0001565,80.15530000000001,279.9769,13.43829829,107.15642478866273,7473.183680157373,1093.8771269114286,1096.2162334033164,6.8304e-05,tles/gw.txt,1 65228U 25178A   25261.35426966  .00000055  00000+0  68304-4 0  9997,2 65228  86.4930 105.4284 0001565  80.1553 279.9769 13.43829829  4325
HULIANWANG DIGUI 9B,65229,25178B,2025-09-24T07:42:35.205109Z,86.4981,103.39,0.0003869,1.167,358.948,13.366695440000003,107.73044141417198,7499.8481935634645,1118.8095022973757,1124.6128848295548,0.00014726,tles/gw.txt,1 65229U 25178B   25267.32124080  .00000091  00000+0  14726-3 0  9991,2 65229  86.4981 103.3900 0003869   1.1670 358.9480 13.36669544  5110
HULIANWANG DIGUI 9C,65230,25178C,2025-09-23T18:58:51.440155Z,86.4874,103.5091,0.0001553,97.9616,262.1702,13.37956438,107.62682245115069,7495.038342149814,1115.7373626952785,1118.0653216043502,-0.00028460000000000003,tles/gw.txt,1 65230U 25178C   25266.79087315 -.00000135  00000+0 -28460-3 0  9993,2 65230  86.4874 103.5091 0001553  97.9616 262.1702 13.37956438  5055
HULIANWANG DIGUI 9D,65231,25178D,2025-09-24T10:58:37.591400Z,86.4975,103.3183,0.0003967,143.4075,216.73380000000003,13.36935336,107.70902385663325,7498.854146131004,1117.7423506912337,1123.6919415707753,1.1177e-05,tles/gw.txt,1 65231U 25178D   25267.45737953  .00000021  00000+0  11177-4 0  9998,2 65231  86.4975 103.3183 0003967 143.4075 216.7338 13.36935336  5148
HULIANWANG DIGUI 9E,65232,25178E,2025-09-22T10:24:38.087433Z,86.4921,103.9927,0.0001305,108.1654,251.9631,13.39412286,107.50983958049196,7489.606300874064,1110.4919072517996,1112.4466944963287,7.8321e-05,tles/gw.txt,1 65232U 25178E   25265.43377416  .00000057  00000+0  78321-4 0  9992,2 65232  86.4921 103.9927 0001305 108.1654 251.9631 13.39412286  4870
CZ-6A R/B,65233,25178F,2025-09-25T07:34:01.629700Z,86.5017,102.1334,0.0103221,358.238,1.8414,13.945813429999998,103.25679511116192,7290.756730429084,837.3638103819221,987.8756504762468,1.5844e-05,tles/gw.txt,1 65233U 25178F   25268.31529664  .00000039  00000+0  15844-4 0  9998,2 65233  86.5017 102.1334 0103221 358.2380   1.8414 13.94581343  5408
HULIANWANG DIGUI 10A,65305,25187A,2025-09-22T19:36:56.439331Z,50.00630000000001,97.1579,3.65e-05,234.44660000000002,125.64029999999998,14.00164592,102.84505180516663,7271.36224325459,892.9598385327117,893.4906479764686,5.0743000000000005e-05,tles/gw.txt,1 65305U 25187A   25265.81731990 -.00000075  00000+0  50743-4 0  9995,2 65305  50.0063  97.1579 0000365 234.4466 125.6403 14.00164592  3945
HULIANWANG DIGUI 10B,65306,25187B,2025-09-22T09:16:52.436066Z,50.0081,98.8927,2.43e-05,267.3567,92.7308,14.00406437,102.82729084599316,7270.525060955332,892.2113871963511,892.564734714314,4.4907e-05,tles/gw.txt,1 65306U 25187B   25265.38671801 -.00000083  00000+0  44907-4 0  9996,2 65306  50.0081  98.8927 0000243 267.3567  92.7308 14.00406437  3881
HULIANWANG DIGUI 10C,65307,25187C,2025-09-22T19:25:32.255890Z,50.0086,97.1248,2.24e-05,256.5615,103.5263,14.012378109999998,102.76628197552972,7267.648973670615,889.3491783336058,889.6747690076254,0.00013242,tles/gw.txt,1 65307U 25187C   25265.80940111  .00000050  00000+0  13242-3 0  9997,2 65307  50.0086  97.1248 0000224 256.5615 103.5263 14.01237811  3945
HULIANWANG DIGUI 10D,65308,25187D,2025-09-22T12:49:52.547791Z,50.0005,98.3177,3.69e-05,250.75380000000004,109.3325,13.99936601,102.86180095379906,7272.151688602065,893.7463462047563,894.2830309993751,4.5114e-05,tles/gw.txt,1 65308U 25187D   25265.53463597 -.00000083  00000+0  45114-4 0  9997,2 65308  50.0005  98.3177 0000369 250.7538 109.3325 13.99936601  3909
HULIANWANG DIGUI 10E,65309,25187E,2025-09-22T12:49:23.960632Z,50.0093,98.3264,3.17e-05,246.08680000000004,114.0002,14.00005414,102.85674509541576,7271.91339301232,893.5458733577616,894.0069126668795,4.5236e-05,tles/gw.txt,1 65309U 25187E   25265.53430510 -.00000083  00000+0  45236-4 0  9992,2 65309  50.0093  98.3264 0000317 246.0868 114.0002 14.00005414  3908
HULIANWANG DIGUI 10F,65310,25187F,2025-09-23T16:06:18.612854Z,50.0114,93.6918,5.31e-05,238.87540000000004,121.2097,14.00031938,102.85479644536508,7271.8215470886025,893.2984133644522,894.0706808127525,4.2819000000000005e-05,tles/gw.txt,1 65310U 25187F   25266.67104876 -.00000087  00000+0  42819-4 0  9991,2 65310  50.0114  93.6918 0000531 238.8754 121.2097 14.00031938  4061
HULIANWANG DIGUI 10G,65311,25187G,2025-09-22T12:53:54.472137Z,50.00630000000001,98.3413,7.08e-05,211.0734,149.0127,14.0014932,102.84617357811523,7271.415117635305,892.7633014449766,893.7929338256345,4.5548000000000005e-05,tles/gw.txt,1 65311U 25187G   25265.53743602 -.00000082  00000+0  45548-4 0  9999,2 65311  50.0063  98.3413 0000708 211.0734 149.0127 14.00149320  3903
HULIANWANG DIGUI 10H,65312,25187H,2025-09-22T23:02:53.376862Z,50.0038,96.5741,2.85e-05,280.6527,79.4344,14.00410632,102.8269828217071,7270.5105414674235,892.166331916992,892.5807510178556,5.1206e-05,tles/gw.txt,1 65312U 25187H   25265.96034001 -.00000074  00000+0  51206-4 0  9992,2 65312  50.0038  96.5741 0000285 280.6527  79.4344 14.00410632  3962
HULIANWANG DIGUI 10J,65313,25187J,2025-09-22T19:36:07.399567Z,50.0078,97.1614,2.39e-05,299.7976,60.29030000000001,13.99994556,102.8575428260451,7271.950992364985,893.6401927362676,893.9877919937026,4.345e-05,tles/gw.txt,1 65313U 25187J   25265.81675231 -.00000086  00000+0  43450-4 0  9998,2 65313  50.0078  97.1614 0000239 299.7976  60.2903 13.99994556  3947
CZ-8A R/B,65314,25187K,2025-09-25T00:32:02.050934Z,50.0071,82.6886,0.0116483,189.531,170.3395,14.30467751,100.66637286952721,7168.304749641118,706.6691854258734,873.6663138563636,4.7931000000000006e-05,tles/gw.txt,1 65314U 25187K   25268.02224596 -.00000029  00000+0  47931-4 0  9994,2 65314  50.0071  82.6886 0116483 189.5310 170.3395 14.30467751  4338
