# Timestamp,20260126_161601
# Scenario,single
# Seeds,3
# Base Seed,101

N_UE,SE_3GPP_PF,SE_3GPP_MR,SE_RadioMap,Jain_3GPP_PF,Jain_3GPP_MR,Jain_RadioMap
25,0.054934,0.164559,0.084850,0.343567,0.095257,0.350613
50,0.099926,0.274999,0.150885,0.145538,0.045358,0.160756
75,0.542284,0.864491,0.604028,0.102049,0.027921,0.115473
100,0.096183,0.246302,0.137323,0.165484,0.031742,0.187085
