# Timestamp,20260126_163705
# Scenario,constellation
# Seeds,3
# Base Seed,101

N_UE,SE_3GPP_PF,SE_3GPP_MR,SE_RadioMap,Jain_3GPP_PF,Jain_3GPP_MR,Jain_RadioMap
25,0.051711,0.166588,0.091003,0.352455,0.095920,0.372096
50,0.102495,0.279676,0.152943,0.141413,0.044429,0.162093
75,0.501286,0.893450,0.584499,0.110690,0.027546,0.103321
100,0.092588,0.248805,0.136961,0.166884,0.031243,0.174455
