# Timestamp,20260127_105655
# Scenario,single
# Seeds,1
# Base Seed,101

N_UE,SE_3GPP_PF,SE_3GPP_MR,SE_RadioMap,Jain_3GPP_PF,Jain_3GPP_MR,Jain_RadioMap
25,0.098694,0.190105,0.128607,0.439878,0.143818,0.446850
50,0.114002,0.225524,0.150382,0.560792,0.126384,0.537479
75,0.116762,0.287148,0.153079,0.567962,0.105442,0.548243
100,0.118875,0.324712,0.152159,0.510035,0.058330,0.470403
