# Timestamp,20260126_180853
# Scenario,constellation
# Seeds,1
# Base Seed,101

N_UE,SE_3GPP_PF,SE_3GPP_MR,SE_RadioMap,Jain_3GPP_PF,Jain_3GPP_MR,Jain_RadioMap
25,0.206952,0.347800,0.266570,0.000000,0.000000,0.000000
50,0.199099,0.286623,0.250864,0.000000,0.000000,0.000000
75,0.229639,0.246962,0.282324,0.000000,0.000000,0.000000
100,0.283021,0.386851,0.280533,0.000000,0.000000,0.000000
